,airline_sentiment,name,text,tweet_created,tweet_location,user_timezone,hashtags,tags
82,negative,arieldaie,virginamerica youre best whenever begrudgingly use airline im delayed late flight,23/02/15 10:54,Los Angeles,,[],['virginamerica']
83,negative,GunsNDip,virginamerica interesting flying cancelled flight next four flights plannedneverflyvirginforbusiness,23/02/15 10:54,,Pacific Time (US & Canada),[],['virginamerica']
84,negative,GunsNDip,virginamerica disappointing experience shared every business traveler meet neverflyvirgin,23/02/15 10:38,,Pacific Time (US & Canada),['neverflyvirgin'],['virginamerica']
85,negative,jsatk,virginamerica im trouble adding flight wife booked elevate account help,23/02/15 10:29,"Lower Pacific Heights, SF, CA",Pacific Time (US & Canada),[],['virginamerica']
86,neutral,serenaklal,virginamerica cant bring reservation online using flight booking problems code,23/02/15 10:15,Chicago,Eastern Time (US & Canada),[],['virginamerica']
87,neutral,openambit1,virginamerica random q whats distribution elevate avatars bet kitty disproportionate share,23/02/15 10:09,,,[],['virginamerica']
88,neutral,cabowine,virginamerica 3 flying va life happens trying change trip jperhi helpva home page let,23/02/15 10:04,"Los Cabos,Mexico",Arizona,['change'],['virginamerica']
89,negative,MaryAnnTaylorT,virginamerica site back,23/02/15 9:57,"New York, NY",Arizona,[],['virginamerica']
90,neutral,RamotControl,virginamerica rnp yeah know,23/02/15 9:45,,Pacific Time (US & Canada),[],['virginamerica']
91,neutral,losermelon,virginamerica hi get points elevate account recent flight add flight points account,23/02/15 9:35,,,[],['virginamerica']
92,negative,AlisonK33774854,virginamerica like tv interesting video disappointed cancelled flightled flight flights went jfk saturday,23/02/15 9:29,,,[],['virginamerica']
93,negative,GunsNDip,virginamerica landed lax hour late flight bag check business travel friendly nomorevirgin,23/02/15 9:28,,Pacific Time (US & Canada),['nomorevirgin'],['virginamerica']
94,neutral,yazdanagh,virginamerica flight 345 redirected,23/02/15 9:26,,,[],['virginamerica']
95,negative,MerchEngines,virginamerica website btw new website isnt great user experience time another redesign,23/02/15 9:25,"Los Angeles, CA",Arizona,[],['virginamerica']
96,negative,ColorCartel,virginamerica cant check add bag website isnt working ive tried desktop mobile,23/02/15 9:18,"Austin, TX",Mountain Time (US & Canada),[],['virginamerica']
97,negative,MustBeSpoken,virginamerica let 2 scanned passengers leave plane told someone remove bag 1st class bin uncomfortable,23/02/15 9:11,,,['uncomfortable'],['virginamerica']
98,negative,mattbunk,virginamerica phone number cant find call flight reservation,23/02/15 8:29,"Sterling Heights, MI",Eastern Time (US & Canada),[],['virginamerica']
99,negative,louisjenny,virginamerica anyone anything today website useless one answering phone,23/02/15 8:19,Washington DC,Quito,[],['virginamerica']
100,neutral,STravelsW,virginamerica trying add boy prince ressie sf thursday virginamerica lax,23/02/15 8:19,"Manhattan Beach, CA",,[],"['virginamerica', 'virginamerica']"
101,negative,GunsNDip,virginamerica must traveler miss flight late flight check bag missed morning appointments lost business sfo2lax,23/02/15 8:11,,Pacific Time (US & Canada),['sfo2lax'],['virginamerica']
102,neutral,joeyrenagade,virginamerica check new music,23/02/15 8:08,Greater Los Angeles,,[],['virginamerica']
103,negative,mrmichaellay,virginamerica hows direct flight fllsfo unexpected layover vegas 4 fuel yet peeps next bought vegas flight sneaky,23/02/15 8:08,Floridian from Cincinnati ,Eastern Time (US & Canada),['sneaky'],['virginamerica']
104,negative,GunsNDip,virginamerica late flight bag check lost business missed flight apt three people flight exp,23/02/15 7:51,,Pacific Time (US & Canada),[],['virginamerica']
105,positive,TheDuchessSF,virginamerica amazing customer service raeann sf shes best customerservice virginamerica flying,23/02/15 7:50,Online,Pacific Time (US & Canada),"['customerservice', 'virginamerica', 'flying']",['virginamerica']
106,negative,BeLeather,virginamerica called service line hung awesome sarcasm,23/02/15 7:40,,Pacific Time (US & Canada),['sarcasm'],['virginamerica']
107,negative,BeLeather,virginamerica site tripping im trying check im getting plain text version reluctant enter card info,23/02/15 7:40,,Pacific Time (US & Canada),[],['virginamerica']
108,neutral,drcaseydrake,virginamerica scheduled sfo 2 dal flight 714 today changed 24th due weather looks like flight still,23/02/15 7:28,"Dallas, TX",,[],['virginamerica']
109,positive,flyfromWAS,virginamerica getaway deals may 59 oneway lots cool cities cheapflights farecompare,23/02/15 6:57,"Washington, DC",Eastern Time (US & Canada),"['cheapflights', 'farecompare']",['virginamerica']
110,neutral,flyfromSEA,virginamerica getaway deals may 59 oneway lots cool cities cheapflights farecompare,23/02/15 6:57,Seattle,Central Time (US & Canada),"['cheapflights', 'farecompare']",['virginamerica']
111,positive,flyfromNYC,virginamerica getaway deals may 59 oneway lots cool cities cheapflights farecompare,23/02/15 6:57,"New York City, NY",Central Time (US & Canada),"['cheapflights', 'farecompare']",['virginamerica']
112,neutral,flyfromLAX,virginamerica getaway deals may 59 oneway lots cool cities cheapflights farecompare,23/02/15 6:57,"Los Angeles, CA",Central Time (US & Canada),"['cheapflights', 'farecompare']",['virginamerica']
113,positive,Silvanabfer,virginamerica great week,23/02/15 6:51,,,[],['virginamerica']
114,positive,AdamJdubs,virginamerica come back phl already need take us horrible cold pleasecomeback,23/02/15 6:07,Earth,Eastern Time (US & Canada),"['phl', 'pleasecomeback']",['virginamerica']
115,negative,nicholas_v,virginamerica concerned fly plane needs delayed due tech stop,23/02/15 5:15,,Eastern Time (US & Canada),[],['virginamerica']
116,positive,tstashajones,virginamerica best airline flown oneasy change reservationhelpful representatives comfortable flying experience,23/02/15 3:01,"Halifax, Nova Scotia, Canada",Eastern Time (US & Canada),[],['virginamerica']
117,positive,SkateMamas,virginamerica another rep kicked butt naelah represents team beautifully thank,23/02/15 0:35,"Los Angeles, CA",,[],['virginamerica']
118,positive,dngoo,virginamerica beautiful frontend design right cool still book ticket bc backend secure,23/02/15 0:21,"Near a park, water, or lights",Pacific Time (US & Canada),[],['virginamerica']
119,positive,SamBrittenham,virginamerica love team running gate e9 las tonight waited delayed flight kept things entertaining,23/02/15 0:06,USA,Eastern Time (US & Canada),[],['virginamerica']
120,negative,usagibrian,virginamerica use another browser 2015 brand reputation built tech response doesnt crossbrowser compatible website,22/02/15 22:39,San Francisco CA,Pacific Time (US & Canada),[],['virginamerica']
121,negative,usagibrian,virginamerica flight flight booking problems site totally folks problem,22/02/15 22:11,San Francisco CA,Pacific Time (US & Canada),[],['virginamerica']
122,negative,KindofLuke,virginamerica like customer service 40 min delay connecting passengers seems long va370,22/02/15 21:56,,,[],['virginamerica']
123,positive,ptbrodie,virginamerica thanks outstanding nycjfk crew moved mountains get home san francisco tonight,22/02/15 20:23,San Francisco,,[],['virginamerica']
124,positive,cheryleng,virginamerica absolute best team customer service ever every time fly im delighted thank,22/02/15 17:48,,Pacific Time (US & Canada),[],['virginamerica']
125,neutral,HishamSharaby,virginamerica provide complimentary upgrades first class available seats,22/02/15 17:45,New York,Eastern Time (US & Canada),[],['virginamerica']
126,negative,ChrisFordisHere,virginamerica need change flight thats scheduled 9 hours 120 min wait time phone im calling intern help,22/02/15 17:14,NYC,Tehran,[],['virginamerica']
127,positive,JKF1897,virginamerica completely awesome experience last month boslas nonstop thanks awesome flight depart time vabeatsjblue,22/02/15 16:18,,,['vabeatsjblue'],['virginamerica']
128,neutral,F6x,virginamerica watch oscars2015 jfksfo flight,22/02/15 16:05,"San Francisco, CA",Pacific Time (US & Canada),['oscars2015'],['virginamerica']
129,neutral,lawyang588,virginamerica flight 882 cancelled flightled,22/02/15 15:41,,,[],['virginamerica']
130,negative,melokudo,virginamerica failing customers check process link tsa precheck,22/02/15 15:40,,Eastern Time (US & Canada),[],['virginamerica']
131,negative,ChrysiChrysic,virginamerica fidifamilies us terrible airline gave us hotel hotline number said sorry,22/02/15 15:06,,,[],"['virginamerica', 'fidifamilies']"
132,neutral,nikkisixxfan93,virginamerica flight number 276 sfo cabo san lucas arrived yet,22/02/15 15:03,"Sacramento,California",Pacific Time (US & Canada),[],['virginamerica']
133,negative,ChrysiChrysic,virginamerica chrysichrysic assistance yesterday u cancelled flightled flight give us hotel hotline shame,22/02/15 15:02,,,[],"['virginamerica', 'chrysichrysic']"
134,negative,MOCBlogger,virginamerica another delayed flight likingyoulessandless,22/02/15 14:49,San Diego,Alaska,['likingyoulessandless'],['virginamerica']
135,negative,tfaz,virginamerica need register service dog first class ticket sfo dulles phone queue hour longer pls advise,22/02/15 14:39,"Oakland, California",Pacific Time (US & Canada),[],['virginamerica']
136,positive,lisaptv,virginamerica rock making watch oscars flight redcarpet oscars oscars2015,22/02/15 14:32,,Mountain Time (US & Canada),"['oscars', 'redcarpet', 'oscars', 'oscars2015']",['virginamerica']
137,neutral,dropapp,virginamerica reallytallchris dropped track,22/02/15 14:31,,,[],"['virginamerica,', 'reallytallchris']"
138,positive,HollywoodHotMom,virginamerica always xoxo,22/02/15 14:09,All Over!,Pacific Time (US & Canada),[],['virginamerica']
139,negative,GoShar2012,virginamerica cant book seats flights buy even check creates much anxiety frustrated,22/02/15 14:07,"Providence, RI",Eastern Time (US & Canada),['frustrated'],['virginamerica']
140,negative,MOCBlogger,virginamerica youd think paying extra 100 bucks rt luggage might afford hiring extra hand sfo lame,22/02/15 14:03,San Diego,Alaska,['lame'],"['virginamerica', 'sfo']"
141,positive,SkateMamas,virginamerica best customer service rep world irmafromdallas takes cake,22/02/15 13:55,"Los Angeles, CA",,['irmafromdallas'],['virginamerica']
142,neutral,FiDiFamilies,virginamerica find us flt lax sooner midnight monday would great customer service,22/02/15 13:49,New York City ,Eastern Time (US & Canada),[],['virginamerica']
143,negative,jarrydosborne,virginamerica please provide status flight 769 cant imagine time web indicates dude weather andor dallas,22/02/15 13:47,New York,Eastern Time (US & Canada),[],['virginamerica']
144,positive,HollywoodHotMom,virginamerica amazing staff super helpful ran waltdisneyworld princesshalf spoiled comfort,22/02/15 13:45,All Over!,Pacific Time (US & Canada),['princesshalf'],"['virginamerica', 'waltdisneyworld']"
145,negative,mlorenzen,virginamerica paid premium fly across country cancelled flight flight offer check fee upgrade love sad face,22/02/15 13:29,"iPhone: 29.741360,-90.131523",Pacific Time (US & Canada),[],['virginamerica']
146,negative,Tyler_Starrine,virginamerica question possible book seat infant 2 giving option want seat,22/02/15 13:23,Los Angeles,Pacific Time (US & Canada),[],['virginamerica']
147,positive,jessicajaymes,always together youre welcome rt virginamerica jessicajaymes youre welcome,22/02/15 12:49,"hollywood, california",Pacific Time (US & Canada),[],"['virginamerica:', 'jessicajaymes']"
148,positive,livingfitly,virginamerica flight home dc sunset globe backtowinter back work refreshed,22/02/15 12:35,"Washington, DC",Eastern Time (US & Canada),"['flight', 'dc', 'sunset', 'globe', 'backtowinter', 'work!', 'refreshed']",['virginamerica']
149,negative,khartline,virginamerica dont understand need dm give answer damaged luggage policy,22/02/15 12:34,Las Vegas,Pacific Time (US & Canada),[],[]
150,negative,khartline,virginamerica mean dont policy destroyed luggage,22/02/15 12:27,Las Vegas,Pacific Time (US & Canada),[],[]
151,neutral,MACRoxburgh,virginamerica special assistance travel alone w2 kids 1 infant priority boarding,22/02/15 11:56,,Atlantic Time (Canada),[],['virginamerica']
152,positive,paulnakada,virginamerica thank checking tickets purchased customer happy,22/02/15 11:33,San Francisco,Pacific Time (US & Canada),[],['virginamerica']
153,neutral,wildcatdad,virginamerica website ever coming back online,22/02/15 11:13,,,[],['virginamerica']
154,neutral,RheaThurman1,virginamerica flight 713 love field sfo definitely cancelled flightled monday february 23,22/02/15 11:10,,,[],['virginamerica']
155,neutral,Osiris91780,virginamerica flight 0769 lga dfw time,22/02/15 11:10,,,[],['virginamerica']
156,neutral,HeatherWhoo,virginamerica drivers license expired little month fly friday morning using expired license,22/02/15 11:10,,,[],['virginamerica']
157,negative,paulnakada,virginamerica problems flight booking problems web site keeps giving error contact phone phone 30 minute wait,22/02/15 11:02,San Francisco,Pacific Time (US & Canada),[],['virginamerica']
158,negative,RampantSmashing,virginamerica reschedule cancelled flightled flights online change button greyed,22/02/15 11:01,CA,,[],['virginamerica']
159,negative,intlwriter,virginamerica rang wait 35 minutes book ticket vendor fix site,22/02/15 10:38,@ the moment in New Delhi,Pacific Time (US & Canada),[],['virginamerica']
160,negative,finslippy,virginamerica got flight told 450 todaychecked email 450 tomorrow unacceptable,22/02/15 10:30,Brooklyn,Eastern Time (US & Canada),[],['virginamerica']
161,negative,finslippy,virginamerica flight lga cancelled flighted stuck dallas called reschedule told could get flight today12,22/02/15 10:29,Brooklyn,Eastern Time (US & Canada),[],['virginamerica']
162,negative,Gr8Fratsby,virginamerica dont pairings include red wine white offered redwineisbetter,22/02/15 10:19,"Washington, DC",Eastern Time (US & Canada),['redwineisbetter'],['virginamerica']
163,negative,sbaaronson,virginamerica website,22/02/15 8:56,Los Angeles,,[],['virginamerica']
164,negative,jonesbasf,virginamerica site seems little wonked right may want look tried two browsers css,22/02/15 8:53,,,[],['virginamerica']
165,negative,Gr8Fratsby,virginamerica im disappointed agent designated silver status check line dulles_airport closed assist pasengers,22/02/15 5:51,"Washington, DC",Eastern Time (US & Canada),[],"['virginamerica', 'dulles_airport']"
166,neutral,NewsSWA,virginamerica plans include austin dallas route topnews arab emirates,22/02/15 5:02,FL410,Sydney,['emirates'],['virginamerica']
167,negative,CSHangover,virginamerica normal receive reply central baggage baggageissues smh,22/02/15 4:43,Tokyo,Irkutsk,"['baggageissues', 'smh']",['virginamerica']
168,negative,girlphotophilly,virginamerica logan airport waiting checkin 9am flight checkin desk open,22/02/15 3:39,"Philadelphia, Pa",Eastern Time (US & Canada),[],['virginamerica']
169,neutral,NewsSWA,virginamerica jump dallasaustin market dallas_news,22/02/15 3:32,FL410,Sydney,[],"['virginamerica', 'dallas_news']"
170,neutral,NewsSWA,virginamerica beats eps views takes southwestair va luv investors business daily,22/02/15 3:02,FL410,Sydney,['southwestair'],['virginamerica']
171,neutral,Graemelodge5545,virginamerica lister show monday 1230 130,22/02/15 2:42,,,[],['virginamerica']
172,neutral,NewsSWA,virginamerica begin dallasaustin flights april 889 ketr,22/02/15 1:32,FL410,Sydney,['flights'],['virginamerica']
173,negative,Boards707,virginamerica congrats got business ewr sfolax fuck united fl1289 sfoewr clincher,21/02/15 21:32,"Belmar, NJ",Eastern Time (US & Canada),[],"['virginamerica', 'united']"
174,negative,MikeWiener,virginamerica applied 2 weeks ago havent heard back im flying week disappointed,21/02/15 21:28,,Eastern Time (US & Canada),['disappointed'],['virginamerica']
175,neutral,khartline,virginamerica id love know policy damaged luggage,21/02/15 20:41,Las Vegas,Pacific Time (US & Canada),[],['virginamerica']
176,positive,simpasmore,virginamerica thank follow,21/02/15 20:33,Barbados ,Eastern Time (US & Canada),[],['virginamerica']
177,negative,ChrysiChrysic,virginamerica many apologies r worse airlines dont even respond cudtomers,21/02/15 20:21,,,[],['virginamerica']
178,negative,ChrysiChrysic,virginamerica shame va making people spend money stranded cities airlines landing jfk reimburse,21/02/15 20:11,,,[],['virginamerica']
179,neutral,TTINAC11,virginamerica ttinac11 dm,21/02/15 18:35,"Las Vegas, NV",Mountain Time (US & Canada),[],"['virginamerica', 'ttinac11']"
